Código,Espacialidades,Esperança de vida ao nascer 1991,Esperança de vida ao nascer 2000,Esperança de vida ao nascer 2010,IDHM Longevidade 1991,IDHM Longevidade 2000,IDHM Longevidade 2010
76,Brasil,64.73,68.61,73.94,0.662,0.727,0.816
2300101,Abaiara,61,67.2,69.87,0.6,0.703,0.748
2300150,Acarape,57.2,62.9,67.56,0.537,0.632,0.709
2300200,Acaraú,57.02,65.24,70.47,0.534,0.671,0.758
2300309,Acopiara,55.83,63.19,68.41,0.514,0.637,0.724
2300408,Aiuaba,59.45,61.93,69.96,0.574,0.616,0.749
2300507,Alcântaras,54.39,62.8,70.07,0.49,0.63,0.751
2300606,Altaneira,55.73,63.81,71.41,0.512,0.647,0.774
2300705,Alto Santo,64.68,68.6,71.44,0.661,0.727,0.774
2300754,Amontada,62.15,64.87,70.63,0.619,0.665,0.761
2300804,Antonina do Norte,58.66,66.42,71.32,0.561,0.69,0.772
2300903,Apuiarés,56.31,64.74,69.44,0.522,0.662,0.741
2301000,Aquiraz,60.41,67.48,72.27,0.59,0.708,0.788
2301109,Aracati,59.67,66.84,69.52,0.578,0.697,0.742
2301208,Aracoiaba,57.2,62.9,70.56,0.537,0.632,0.759
2301257,Ararendá,59.76,67.91,70.76,0.579,0.715,0.763
2301307,Araripe,57.21,63.81,70.54,0.537,0.647,0.759
2301406,Aratuba,63.58,68.52,71.49,0.643,0.725,0.775
2301505,Arneiroz,59.45,63,69.41,0.574,0.633,0.74
2301604,Assaré,57.4,63.81,71.95,0.54,0.647,0.783
2301703,Aurora,58.34,65.18,70.81,0.556,0.67,0.764
2301802,Baixio,55.16,63.19,70.77,0.503,0.637,0.763
2301851,Banabuiú,60.21,67.03,71.71,0.587,0.701,0.779
2301901,Barbalha,64.78,67.83,74.02,0.663,0.714,0.817
2301950,Barreira,58.93,63.19,71.25,0.566,0.637,0.771
2302008,Barro,62.81,68.6,70.49,0.63,0.727,0.758
2302057,Barroquinha,54.59,60.79,68.2,0.493,0.597,0.72
2302107,Baturité,57.2,63.81,70.2,0.537,0.647,0.753
2302206,Beberibe,61.68,69.11,71.67,0.611,0.735,0.778
2302305,Bela Cruz,54.59,62.24,70.57,0.493,0.621,0.76
2302404,Boa Viagem,59.38,64.54,71.09,0.573,0.659,0.768
2302503,Brejo Santo,62.08,69.09,71.06,0.618,0.735,0.768
2302602,Camocim,55.69,63.94,68.71,0.512,0.649,0.729
2302701,Campos Sales,62.04,66.78,71.11,0.617,0.696,0.769
2302800,Canindé,60.21,67.29,70.88,0.587,0.705,0.765
2302909,Capistrano,61.51,67.23,68.82,0.609,0.704,0.73
2303006,Caridade,59.29,67.19,71.74,0.572,0.703,0.779
2303105,Cariré,59.33,66.99,69.92,0.572,0.7,0.749
2303204,Caririaçu,55.16,62.13,68.81,0.503,0.619,0.73
2303303,Cariús,62.37,68.52,70.07,0.623,0.725,0.751
2303402,Carnaubal,57.69,62.76,70.58,0.545,0.629,0.76
2303501,Cascavel,61.54,69.11,72.57,0.609,0.735,0.793
2303600,Catarina,59.45,62.76,70.85,0.574,0.629,0.764
2303659,Catunda,59.76,66.49,67.99,0.579,0.692,0.717
2303709,Caucaia,62.9,70.83,73.48,0.632,0.764,0.808
2303808,Cedro,59.74,64.76,70.18,0.579,0.663,0.753
2303907,Chaval,54.59,60.79,67.97,0.493,0.597,0.716
2303931,Choró,56.31,63.81,71.65,0.522,0.647,0.778
2303956,Chorozinho,58.93,64.88,69.53,0.566,0.665,0.742
2304004,Coreaú,62.17,65.8,70.5,0.62,0.68,0.758
2304103,Crateús,61.99,68.9,72.24,0.617,0.732,0.787
2304202,Crato,61.77,67.83,74.3,0.613,0.714,0.822
2304236,Croatá,56.63,62.06,70.58,0.527,0.618,0.76
2304251,Cruz,59.67,67.51,70.13,0.578,0.709,0.752
2304269,Deputado Irapuan Pinheiro,56.89,62.06,69.52,0.532,0.618,0.742
2304277,Ererê,60.97,66.33,70.23,0.6,0.689,0.754
2304285,Eusébio,59.64,67.48,72.66,0.577,0.708,0.794
2304301,Farias Brito,55.16,63.19,71.41,0.503,0.637,0.774
2304350,Forquilha,60.61,67.05,70.62,0.594,0.701,0.76
2304400,Fortaleza,65.95,69.63,74.41,0.683,0.744,0.824
2304459,Fortim,57.89,64,69.06,0.548,0.65,0.734
2304509,Frecheirinha,59.78,65.48,69.78,0.58,0.675,0.746
2304608,General Sampaio,59.38,64.86,69.65,0.573,0.664,0.744
2304657,Graça,59.33,66.99,70.28,0.572,0.7,0.755
2304707,Granja,56.88,64.57,71.68,0.531,0.66,0.778
2304806,Granjeiro,55.16,62.13,67.88,0.503,0.619,0.715
2304905,Groaíras,60.61,66.42,68.41,0.594,0.69,0.724
2304954,Guaiúba,64.09,68.52,71.05,0.652,0.725,0.768
2305001,Guaraciaba do Norte,59.44,66.56,71.57,0.574,0.693,0.776
2305100,Guaramiranga,63.58,67.23,69.14,0.643,0.704,0.736
2305209,Hidrolândia,59.76,67.7,71.48,0.579,0.712,0.775
2305233,Horizonte,60.84,67.41,72.3,0.597,0.707,0.788
2305266,Ibaretama,56.88,64.54,70.52,0.531,0.659,0.759
2305308,Ibiapina,60.38,66.71,71.04,0.59,0.695,0.767
2305332,Ibicuitinga,60.86,68.88,70.5,0.598,0.731,0.758
2305357,Icapuí,59.67,64,70.44,0.578,0.65,0.757
2305407,Icó,59.74,63,68.88,0.579,0.633,0.731
2305506,Iguatu,62.79,68.65,73.48,0.63,0.728,0.808
2305605,Independência,61.99,68.9,70.51,0.617,0.732,0.759
2305654,Ipaporanga,59.76,67.91,70.93,0.579,0.715,0.766
2305704,Ipaumirim,59.67,64.7,68.72,0.578,0.662,0.729
2305803,Ipu,62.79,68.83,70.69,0.63,0.731,0.762
2305902,Ipueiras,57.73,65.52,69.1,0.546,0.675,0.735
2306009,Iracema,60.35,66.33,68.97,0.589,0.689,0.733
2306108,Irauçuba,59.33,66.99,70.28,0.572,0.7,0.755
2306207,Itaiçaba,57.89,64,70.5,0.548,0.65,0.758
2306256,Itaitinga,60.75,67.48,71.05,0.596,0.708,0.768
2306306,Itapagé,59.04,66.14,70.57,0.567,0.686,0.76
2306405,Itapipoca,64.73,68.33,70.63,0.662,0.722,0.761
2306504,Itapiúna,60.8,68.33,71.49,0.597,0.722,0.775
2306553,Itarema,59.67,64.93,70.2,0.578,0.666,0.753
2306603,Itatira,55.71,63.84,69.79,0.512,0.647,0.747
2306702,Jaguaretama,63.85,68.35,71.56,0.648,0.723,0.776
2306801,Jaguaribara,63.85,68.35,69.1,0.648,0.723,0.735
2306900,Jaguaribe,63.85,68.35,70.6,0.648,0.723,0.76
2307007,Jaguaruana,63.26,69.57,71.72,0.638,0.743,0.779
2307106,Jardim,63.12,67.23,71.72,0.635,0.704,0.779
2307205,Jati,61.51,67.41,71.58,0.609,0.707,0.776
2307254,Jijoca de Jericoacoara,57.07,64.17,68.35,0.535,0.653,0.723
2307304,Juazeiro do Norte,61.77,67.76,73.58,0.613,0.713,0.81
2307403,Jucás,58.66,63.19,71.32,0.561,0.637,0.772
2307502,Lavras da Mangabeira,61.27,67.87,71.65,0.605,0.715,0.778
2307601,Limoeiro do Norte,64.93,71.99,73.22,0.666,0.783,0.804
2307635,Madalena,60.21,67.03,71.65,0.587,0.701,0.778
2307650,Maracanaú,63.95,70.59,72.27,0.649,0.76,0.788
2307700,Maranguape,61.24,69.16,72.27,0.604,0.736,0.788
2307809,Marco,56.88,64.21,69.05,0.531,0.654,0.734
2307908,Martinópole,54.59,62.24,70.57,0.493,0.621,0.76
2308005,Massapê,59.33,65.92,71.7,0.572,0.682,0.778
2308104,Mauriti,62.73,68.6,71.32,0.629,0.727,0.772
2308203,Meruoca,59.14,65.1,70.68,0.569,0.668,0.761
2308302,Milagres,61.92,67.2,71.61,0.615,0.703,0.777
2308351,Milhã,60.14,65.46,72.01,0.586,0.674,0.784
2308377,Miraíma,59.33,65.92,71.7,0.572,0.682,0.778
2308401,Missão Velha,60.2,64.72,70.21,0.587,0.662,0.754
2308500,Mombaça,58.31,65.62,69.09,0.555,0.677,0.735
2308609,Monsenhor Tabosa,59.76,67.91,71.37,0.579,0.715,0.773
2308708,Morada Nova,64.84,68.9,70.47,0.664,0.732,0.758
2308807,Moraújo,59.78,64.84,71.1,0.58,0.664,0.768
2308906,Morrinhos,55.73,64.21,70.57,0.512,0.654,0.76
2309003,Mucambo,59.33,66.99,68.91,0.572,0.7,0.732
2309102,Mulungu,64.15,68.52,70.56,0.653,0.725,0.759
2309201,Nova Olinda,59.95,64.57,71.72,0.583,0.66,0.779
2309300,Nova Russas,60.48,65.46,70.25,0.591,0.674,0.754
2309409,Novo Oriente,60.79,65.46,70.79,0.597,0.674,0.763
2309458,Ocara,58.93,63.89,71.25,0.566,0.648,0.771
2309508,Orós,59.74,64.76,72.58,0.579,0.663,0.793
2309607,Pacajus,60.84,67.41,72.3,0.597,0.707,0.788
2309706,Pacatuba,63.68,69.59,71.75,0.645,0.743,0.779
2309805,Pacoti,63.58,68.9,71.38,0.643,0.732,0.773
2309904,Pacujá,60.61,67.05,69.7,0.594,0.701,0.745
2310001,Palhano,63.26,66.42,68.35,0.638,0.69,0.723
2310100,Palmácia,64.15,68.35,69.54,0.653,0.723,0.742
2310209,Paracuru,58.34,64.74,69.73,0.556,0.662,0.746
2310258,Paraipaba,60.73,68.52,69.25,0.596,0.725,0.738
2310308,Parambu,62.52,68.88,70.85,0.625,0.731,0.764
2310407,Paramoti,58.33,64.93,69.45,0.556,0.666,0.741
2310506,Pedra Branca,56.89,65.46,71.73,0.532,0.674,0.779
2310605,Penaforte,62.08,68.6,70.64,0.618,0.727,0.761
2310704,Pentecoste,56.31,64.54,69.06,0.522,0.659,0.734
2310803,Pereiro,61.6,66.33,71.56,0.61,0.689,0.776
2310852,Pindoretama,60.27,66.22,70.25,0.588,0.687,0.754
2310902,Piquet Carneiro,60.57,66.06,71.73,0.593,0.684,0.779
2310951,Pires Ferreira,57.86,65.52,71.13,0.548,0.675,0.769
2311009,Poranga,57.86,65.52,69.76,0.548,0.675,0.746
2311108,Porteiras,59.95,67.69,70.9,0.583,0.712,0.765
2311207,Potengi,61.29,66.49,70.54,0.605,0.692,0.759
2311231,Potiretama,61.6,66.33,70.23,0.61,0.689,0.754
2311264,Quiterianópolis,60.61,68.9,71.46,0.594,0.732,0.774
2311306,Quixadá,61.67,69.59,71.52,0.611,0.743,0.775
2311355,Quixelô,59.74,66.99,68.49,0.579,0.7,0.725
2311405,Quixeramobim,62.62,67.03,72.33,0.627,0.701,0.789
2311504,Quixeré,63.26,68.6,71.44,0.638,0.727,0.774
2311603,Redenção,60.8,67.1,70,0.597,0.702,0.75
2311702,Reriutaba,62.79,68.52,70.63,0.63,0.725,0.761
2311801,Russas,63.45,70.59,72.43,0.641,0.76,0.791
2311900,Saboeiro,54.6,61.93,67.87,0.493,0.616,0.715
2311959,Salitre,58.51,63.89,68.91,0.559,0.648,0.732
2312007,Santana do Acaraú,57.39,65.92,70.28,0.54,0.682,0.755
2312106,Santana do Cariri,59.95,66.58,71.72,0.583,0.693,0.779
2312205,Santa Quitéria,59.76,67.7,71.48,0.579,0.712,0.775
2312304,São Benedito,57.81,63.94,70.84,0.547,0.649,0.764
2312403,São Gonçalo do Amarante,58.34,65.36,71.47,0.556,0.673,0.775
2312502,São João do Jaguaribe,63.26,70.89,72.04,0.638,0.765,0.784
2312601,São Luís do Curu,57.88,63.94,68.13,0.548,0.649,0.719
2312700,Senador Pompeu,56.89,63.81,71.22,0.532,0.647,0.77
2312809,Senador Sá,60.86,66.83,69.12,0.598,0.697,0.735
2312908,Sobral,60.61,68.3,74.93,0.594,0.722,0.832
2313005,Solonópole,60.14,66.06,70.22,0.586,0.684,0.754
2313104,Tabuleiro do Norte,63.26,70.59,72.43,0.638,0.76,0.791
2313203,Tamboril,59.76,67.91,71.71,0.579,0.715,0.779
2313252,Tarrafas,58.66,61.94,70.04,0.561,0.616,0.751
2313302,Tauá,63.19,69.09,71.4,0.637,0.735,0.773
2313351,Tejuçuoca,59.08,64.88,69.54,0.568,0.665,0.742
2313401,Tianguá,60.26,66.71,71.07,0.588,0.695,0.768
2313500,Trairi,62.15,68.33,69.34,0.619,0.722,0.739
2313559,Tururu,60.83,66.14,70.57,0.597,0.686,0.76
2313609,Ubajara,59.44,67.03,71.14,0.574,0.701,0.769
2313708,Umari,55.16,63.19,71.65,0.503,0.637,0.778
2313757,Umirim,54.59,61.94,70.07,0.493,0.616,0.751
2313807,Uruburetama,60.83,66.1,70.57,0.597,0.685,0.76
2313906,Uruoca,59.78,65.89,69.7,0.58,0.682,0.745
2313955,Varjota,62.79,66.71,68.65,0.63,0.695,0.728
2314003,Várzea Alegre,59.73,66.42,70.54,0.579,0.69,0.759
2314102,Viçosa do Ceará,59.67,66.56,70.2,0.578,0.693,0.753