"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","Unidade","Multiplicador"
"1.2","Série retropolada","Brejo Santo",,,,"86476","114158","104019","126149","147759","154764","183812","201456",,,,,,,"R$",1000
"1.2","Série retropolada","Camocim",,,,"121862","154432","185335","199006","204821","232357","257645","278019",,,,,,,"R$",1000
"1.2","Série retropolada","Campos Sales",,,,"49422","46709","57215","63716","74543","76450","93158","102335",,,,,,,"R$",1000
"1.2","Série retropolada","Canindé",,,,"151865","166701","182103","199084","228607","236989","321382","301376",,,,,,,"R$",1000
"1.2","Série retropolada","Capistrano",,,,"25671","34175","33171","38577","48350","46163","58144","59423",,,,,,,"R$",1000
"1.2","Série retropolada","Caridade",,,,"41010","36214","35122","34390","41896","43372","60223","59584",,,,,,,"R$",1000
"1.2","Série retropolada","Cariré",,,,"27803","38807","35760","39303","45401","48583","58490","62550",,,,,,,"R$",1000
"1.2","Série retropolada","Caririaçu",,,,"41408","51641","51675","51720","62799","64501","82488","93436",,,,,,,"R$",1000
"1.2","Série retropolada","Cariús",,,,"26154","32253","34809","35490","40323","44143","52930","58150",,,,,,,"R$",1000
"1.2","Série retropolada","Carnaubal",,,,"21481","25762","29397","34385","39827","39612","50434","56951",,,,,,,"R$",1000
"1.2","Série retropolada","Cascavel",,,,"240928","262871","345338","353426","308125","301473","393873","402209",,,,,,,"R$",1000
"1.2","Série retropolada","Catarina",,,,"20361","23375","26817","30714","35209","36232","46135","48392",,,,,,,"R$",1000
"1.2","Série retropolada","Catunda",,,,"16244","18541","17360","20320","27772","25846","36723","36093",,,,,,,"R$",1000
"1.2","Série retropolada","Caucaia",,,,"836958","973170","1113780","1232377","1532514","1751050","2102938","2301594",,,,,,,"R$",1000
"1.2","Série retropolada","Cedro",,,,"38038","47692","50460","54519","64685","65914","80659","92416",,,,,,,"R$",1000
"1.2","Série retropolada","Chaval",,,,"16785","19876","22318","27311","29811","30700","39200","43639",,,,,,,"R$",1000
"1.2","Série retropolada","Choró",,,,"22023","23353","22615","26001","28150","30095","38168","43919",,,,,,,"R$",1000
"1.2","Série retropolada","Chorozinho",,,,"35176","39225","43292","47036","52801","55968","64536","71661",,,,,,,"R$",1000
"1.2","Série retropolada","Coreaú",,,,"28731","34269","35553","48156","47440","50466","64111","72543",,,,,,,"R$",1000
"1.2","Série retropolada","Crateús",,,,"151776","193228","209551","233677","281748","279728","309116","337990",,,,,,,"R$",1000
"1.2","Série retropolada","Crato",,,,"376323","428253","466405","504322","565309","606692","723083","817764",,,,,,,"R$",1000
"1.2","Série retropolada","Croatá",,,,"24884","31168","34644","39333","45337","45879","61193","59920",,,,,,,"R$",1000
"1.2","Série retropolada","Cruz",,,,"36500","40634","43453","51429","60762","62394","79797","83633",,,,,,,"R$",1000
"1.2","Série retropolada","Deputado Irapuan Pinheiro",,,,"15474","17861","18149","21750","24706","24377","34838","34792",,,,,,,"R$",1000
"1.2","Série retropolada","Ererê",,,,"10504","12451","13389","14797","16551","18416","23461","25453",,,,,,,"R$",1000
"1.2","Série retropolada","Eusébio",,,,"441203","456736","586852","634461","713405","833211","1016933","1183720",,,,,,,"R$",1000
"1.2","Série retropolada","Farias Brito",,,,"32132","40526","39703","42531","52233","50783","63661","66439",,,,,,,"R$",1000
"1.2","Série retropolada","Forquilha",,,,"30887","36946","46181","57525","55229","61406","71528","80249",,,,,,,"R$",1000
"1.2","Série retropolada","Fortaleza",,,,"13413450","15224896","17097518","19218898","21686209","24042584","27960812","32059070",,,,,,,"R$",1000
"1.2","Série retropolada","Fortim",,,,"41807","61601","57993","43854","44752","51347","61025","68575",,,,,,,"R$",1000
"1.2","Série retropolada","Frecheirinha",,,,"20860","26122","26828","30132","36585","37888","47301","53612",,,,,,,"R$",1000
"1.2","Série retropolada","General Sampaio",,,,"9373","11557","12222","13008","15184","17536","23016","25230",,,,,,,"R$",1000
"1.2","Série retropolada","Graça",,,,"20925","24770","26843","29790","36518","37353","43196","48404",,,,,,,"R$",1000
"1.2","Série retropolada","Granja",,,,"61403","71813","79504","90711","107909","121254","148594","160284",,,,,,,"R$",1000
"1.2","Série retropolada","Granjeiro",,,,"8100","9609","10196","11273","13346","14830","20175","20672",,,,,,,"R$",1000
"1.2","Série retropolada","Groaíras",,,,"14084","16999","17318","18750","21185","24652","28606","31135",,,,,,,"R$",1000
"1.2","Série retropolada","Guaiúba",,,,"33316","36571","40612","45611","51111","58825","70363","77790",,,,,,,"R$",1000
"1.2","Série retropolada","Guaraciaba do Norte",,,,"68785","88141","98672","109143","131351","142143","177293","167716",,,,,,,"R$",1000
"1.2","Série retropolada","Guaramiranga",,,,"15769","19689","19952","22497","29972","25529","28683","32025",,,,,,,"R$",1000
"1.2","Série retropolada","Hidrolândia",,,,"32392","38074","37610","41025","53927","52617","66001","70978",,,,,,,"R$",1000
"1.2","Série retropolada","Horizonte",,,,"355097","396080","472936","589136","618227","717471","890906","1088360",,,,,,,"R$",1000
"1.2","Série retropolada","Ibaretama",,,,"25209","26523","24491","34519","36980","34589","45892","41140",,,,,,,"R$",1000
"1.2","Série retropolada","Ibiapina",,,,"49171","60861","63943","67339","68779","78739","92830","101758",,,,,,,"R$",1000
"1.2","Série retropolada","Ibicuitinga",,,,"17167","19632","18707","27060","29738","27194","38001","38172",,,,,,,"R$",1000
"1.2","Série retropolada","Icapuí",,,,"55367","71692","70482","85791","104707","106542","123970","123815",,,,,,,"R$",1000
"1.2","Série retropolada","Icó",,,,"105873","128118","138367","159605","188364","200236","231249","251373",,,,,,,"R$",1000
"1.2","Série retropolada","Iguatu",,,,"313965","357782","396687","431185","470144","522663","619658","645869",,,,,,,"R$",1000
"1.2","Série retropolada","Independência",,,,"50015","60571","64649","69641","86022","84987","113470","116389",,,,,,,"R$",1000
"1.2","Série retropolada","Ipaporanga",,,,"18056","22257","19788","22692","26598","25404","31144","32798",,,,,,,"R$",1000
"1.2","Série retropolada","Ipaumirim",,,,"20173","23655","22734","25343","31272","33200","41916","43523",,,,,,,"R$",1000
"1.2","Série retropolada","Ipu",,,,"69515","83647","88489","107038","113787","125728","147114","161478",,,,,,,"R$",1000
"1.2","Série retropolada","Ipueiras",,,,"56477","68429","72479","79511","92112","94627","118879","125492",,,,,,,"R$",1000
"1.2","Série retropolada","Iracema",,,,"23792","28284","31436","34692","38960","46520","55459","64059",,,,,,,"R$",1000
"1.2","Série retropolada","Irauçuba",,,,"31499","35240","37706","45226","52552","56925","71267","79654",,,,,,,"R$",1000
"1.2","Série retropolada","Itaiçaba",,,,"15327","17070","17789","20206","21408","23317","24486","26355",,,,,,,"R$",1000
"1.2","Série retropolada","Itaitinga",,,,"53324","61248","76352","85345","110058","129393","145620","161596",,,,,,,"R$",1000
"1.2","Série retropolada","Itapajé",,,,"165735","194339","220781","242224","249695","229416","326703","331716",,,,,,,"R$",1000
"1.2","Série retropolada","Itapipoca",,,,"292799","329977","395221","401532","478306","482996","560442","590292",,,,,,,"R$",1000
"1.2","Série retropolada","Itapiúna",,,,"24301","29854","28355","35651","42133","45996","57437","56409",,,,,,,"R$",1000
"1.2","Série retropolada","Itarema",,,,"75178","100311","113985","128930","170602","173295","190589","175762",,,,,,,"R$",1000
"1.2","Série retropolada","Itatira",,,,"27245","36135","42434","38372","53057","50649","71750","68793",,,,,,,"R$",1000
"1.2","Série retropolada","Jaguaretama",,,,"40864","47049","45501","52448","61805","60757","74787","80312",,,,,,,"R$",1000
"1.2","Série retropolada","Jaguaribara",,,,"60613","50314","54195","41901","48638","51679","65479","73557",,,,,,,"R$",1000
"1.2","Série retropolada","Jaguaribe",,,,"86449","95300","104122","114118","135179","148685","188728","209061",,,,,,,"R$",1000
"1.2","Série retropolada","Jaguaruana",,,,"84724","102867","126996","137652","154178","176462","206409","234624",,,,,,,"R$",1000
"1.2","Série retropolada","Jardim",,,,"40333","49140","50487","58767","72907","75527","93463","96525",,,,,,,"R$",1000
"1.2","Série retropolada","Jati",,,,"11616","14826","13718","16539","21053","20458","26971","29357",,,,,,,"R$",1000
"1.2","Série retropolada","Jijoca de Jericoacoara",,,,"22207","26760","32565","38866","46439","51895","62698","71878",,,,,,,"R$",1000
"1.2","Série retropolada","Juazeiro do Norte",,,,"639519","720985","812130","907642","1116498","1246312","1423758","1649601",,,,,,,"R$",1000
"1.2","Série retropolada","Jucás",,,,"36890","42964","47075","47354","55609","62640","73313","92863",,,,,,,"R$",1000
"1.2","Série retropolada","Lavras da Mangabeira",,,,"53298","60853","57507","64756","80229","81262","90999","103512",,,,,,,"R$",1000
"1.2","Série retropolada","Limoeiro do Norte",,,,"192762","212958","243220","262062","321847","337324","400853","407333",,,,,,,"R$",1000
"1.2","Série retropolada","Madalena",,,,"36696","37698","34465","39664","52181","50159","68429","63573",,,,,,,"R$",1000
"1.2","Série retropolada","Maracanaú",,,,"1670133","1802231","2152460","2319339","2411696","2748986","3387386","3702590",,,,,,,"R$",1000
"1.2","Série retropolada","Maranguape",,,,"270896","300638","394789","496794","562958","629053","726042","719003",,,,,,,"R$",1000
"1.2","Série retropolada","Marco",,,,"44279","53631","60236","66278","72359","82849","100376","102219",,,,,,,"R$",1000
"1.2","Série retropolada","Martinópole",,,,"11922","13772","14865","16782","18765","19395","25202","28292",,,,,,,"R$",1000
"1.2","Série retropolada","Massapê",,,,"47220","58481","60925","66048","73514","82844","98982","107516",,,,,,,"R$",1000
"1.2","Série retropolada","Mauriti",,,,"79773","93763","95093","96297","139054","151529","183292","196029",,,,,,,"R$",1000
"1.2","Série retropolada","Meruoca",,,,"18012","22485","24373","25386","28971","31850","36338","38599",,,,,,,"R$",1000
"1.2","Série retropolada","Milagres",,,,"56264","69407","55186","61899","81820","80504","94739","109879",,,,,,,"R$",1000
"1.2","Série retropolada","Milhã",,,,"26604","27717","29276","38797","43363","47179","66263","55025",,,,,,,"R$",1000
"1.2","Série retropolada","Miraíma",,,,"15575","17321","19305","21722","24996","27206","36038","39668",,,,,,,"R$",1000
"1.2","Série retropolada","Missão Velha",,,,"53199","62613","62932","72439","118603","125491","152723","185975",,,,,,,"R$",1000
"1.2","Série retropolada","Mombaça",,,,"66385","75743","78381","91961","105127","117666","142879","141210",,,,,,,"R$",1000
"1.2","Série retropolada","Monsenhor Tabosa",,,,"26248","31771","34892","35271","41632","42531","55816","55798",,,,,,,"R$",1000
"1.2","Série retropolada","Morada Nova",,,,"157151","183978","190130","210908","238924","314478","319842","326062",,,,,,,"R$",1000
"1.2","Série retropolada","Moraújo",,,,"10533","13057","13973","18558","20284","19842","23132","25632",,,,,,,"R$",1000
"1.2","Série retropolada","Morrinhos",,,,"26616","31804","34097","37619","43702","46166","56318","66239",,,,,,,"R$",1000
"1.2","Série retropolada","Mucambo",,,,"20132","24048","26182","27974","32061","35502","42489","47257",,,,,,,"R$",1000
"1.2","Série retropolada","Mulungu",,,,"23779","27544","32748","35287","46710","46269","62283","61148",,,,,,,"R$",1000
"1.2","Série retropolada","Nova Olinda",,,,"25246","26198","32353","31981","39205","40527","49022","57532",,,,,,,"R$",1000
"1.2","Série retropolada","Nova Russas",,,,"53575","62740","65249","73981","80171","86304","110381","117994",,,,,,,"R$",1000
"1.2","Série retropolada","Novo Oriente",,,,"51044","51502","54378","59187","78688","72844","93368","84458",,,,,,,"R$",1000
"1.2","Série retropolada","Ocara",,,,"34534","38887","38539","44652","49621","53087","68327","71187",,,,,,,"R$",1000
"1.2","Série retropolada","Orós",,,,"45861","55148","58420","65603","74291","78395","92527","104665",,,,,,,"R$",1000
"1.2","Série retropolada","Pacajus",,,,"334523","357802","433957","414459","408507","417631","491943","547340",,,,,,,"R$",1000
"1.2","Série retropolada","Pacatuba",,,,"176042","186984","212252","228553","378244","395011","480647","497231",,,,,,,"R$",1000
"1.2","Série retropolada","Pacoti",,,,"26040","32213","36943","40037","51003","50516","61833","67819",,,,,,,"R$",1000
"1.2","Série retropolada","Pacujá",,,,"9307","11232","11803","12398","14997","15952","18676","20766",,,,,,,"R$",1000
"1.2","Série retropolada","Palhano",,,,"14061","16473","18647","19192","21260","23861","28838","31820",,,,,,,"R$",1000
"1.2","Série retropolada","Palmácia",,,,"20615","25614","27634","27028","31838","32198","41461","47617",,,,,,,"R$",1000
"1.2","Série retropolada","Paracuru",,,,"112719","132938","144787","180193","181151","175191","225576","207755",,,,,,,"R$",1000
"1.2","Série retropolada","Paraipaba",,,,"52153","63254","75982","94081","116667","137906","132598","131385",,,,,,,"R$",1000
"1.2","Série retropolada","Parambu",,,,"58764","67850","57213","69323","77608","75954","109641","102433",,,,,,,"R$",1000
"1.2","Série retropolada","Paramoti",,,,"16241","19321","21689","23876","32028","31507","40676","40284",,,,,,,"R$",1000
"1.2","Série retropolada","Pedra Branca",,,,"75262","74169","76359","108474","96353","99565","143196","132345",,,,,,,"R$",1000
"1.2","Série retropolada","Penaforte",,,,"11606","14977","13728","16453","21668","22294","27875","31617",,,,,,,"R$",1000
"1.2","Série retropolada","Pentecoste",,,,"56854","61689","68674","80371","101278","105776","132868","160199",,,,,,,"R$",1000
"1.2","Série retropolada","Pereiro",,,,"26850","30470","32568","33117","41385","42750","53596","54511",,,,,,,"R$",1000
"1.2","Série retropolada","Pindoretama",,,,"32611","38384","44150","45492","55557","60719","61050","82770",,,,,,,"R$",1000
"1.2","Série retropolada","Piquet Carneiro",,,,"22431","24574","25713","28567","32856","35873","44764","48045",,,,,,,"R$",1000
"1.2","Série retropolada","Pires Ferreira",,,,"14835","17639","17802","22357","22873","23294","30519","31012",,,,,,,"R$",1000
"1.2","Série retropolada","Poranga",,,,"16018","18042","18788","22173","26031","26586","31763","33995",,,,,,,"R$",1000
"1.2","Série retropolada","Porteiras",,,,"26346","33173","30350","32911","44279","43505","54083","57360",,,,,,,"R$",1000
"1.2","Série retropolada","Potengi",,,,"15985","19751","20436","24215","27775","29247","37174","37894",,,,,,,"R$",1000
"1.2","Série retropolada","Potiretama",,,,"10205","11645","12303","13283","17091","16781","23070","23623",,,,,,,"R$",1000
"1.2","Série retropolada","Quiterianópolis",,,,"35754","34581","35892","45301","48925","47660","60804","61927",,,,,,,"R$",1000
"1.2","Série retropolada","Quixadá",,,,"176492","211174","237367","271909","279191","304731","381749","465456",,,,,,,"R$",1000
"1.2","Série retropolada","Quixelô",,,,"39384","44153","41540","49872","53460","51825","61062","62055",,,,,,,"R$",1000
"1.2","Série retropolada","Quixeramobim",,,,"144831","186104","188380","216081","254760","280432","332829","370805",,,,,,,"R$",1000
"1.2","Série retropolada","Quixeré",,,,"64733","68064","93594","94594","117277","127703","149958","129131",,,,,,,"R$",1000
"1.2","Série retropolada","Redenção",,,,"82941","79859","89213","97849","115993","86650","104837","122510",,,,,,,"R$",1000
"1.2","Série retropolada","Reriutaba",,,,"32726","40638","43134","47561","59506","56282","68179","71835",,,,,,,"R$",1000
"1.2","Série retropolada","Russas",,,,"184345","243561","279646","294540","329608","362600","449685","470387",,,,,,,"R$",1000
"1.2","Série retropolada","Saboeiro",,,,"23861","27126","27110","30616","32243","35374","42511","49410",,,,,,,"R$",1000
"1.2","Série retropolada","Salitre",,,,"22701","29350","27050","30736","38181","41497","59667","57228",,,,,,,"R$",1000
"1.2","Série retropolada","Santana do Acaraú",,,,"46376","50409","51163","60987","70195","76063","90485","96284",,,,,,,"R$",1000
"1.2","Série retropolada","Santana do Cariri",,,,"28953","31977","33164","37917","44037","47331","56194","68325",,,,,,,"R$",1000
"1.2","Série retropolada","Santa Quitéria",,,,"122441","130740","132973","125789","146211","143847","194945","201161",,,,,,,"R$",1000
"1.2","Série retropolada","São Benedito",,,,"81748","96720","106667","115916","130810","152255","183811","196606",,,,,,,"R$",1000
"1.2","Série retropolada","São Gonçalo do Amarante",,,,"75468","98728","114827","134809","162065","209658","248703","294535",,,,,,,"R$",1000
"1.2","Série retropolada","São João do Jaguaribe",,,,"36207","36016","37828","32601","37250","37594","44444","48385",,,,,,,"R$",1000
"1.2","Série retropolada","São Luís do Curu",,,,"19923","21524","24276","29378","34226","34520","42434","47071",,,,,,,"R$",1000
"1.2","Série retropolada","Senador Pompeu",,,,"54500","56928","62515","72574","86330","89430","117197","112974",,,,,,,"R$",1000
"1.2","Série retropolada","Senador Sá",,,,"9051","10067","15593","15633","17049","17328","20678","22857",,,,,,,"R$",1000
"1.2","Série retropolada","Sobral",,,,"981405","1094881","1367901","1527851","1563325","1668681","1864366","2100913",,,,,,,"R$",1000
"1.2","Série retropolada","Solonópole",,,,"31284","34854","38327","45737","52494","51250","71188","72927",,,,,,,"R$",1000
"1.2","Série retropolada","Tabuleiro do Norte",,,,"52036","64111","72632","81301","94571","103506","122865","141869",,,,,,,"R$",1000
"1.2","Série retropolada","Tamboril",,,,"43716","51246","49226","54952","67912","69488","92209","91616",,,,,,,"R$",1000
"1.2","Série retropolada","Tarrafas",,,,"14076","18775","16374","16771","22712","24222","30535","30791",,,,,,,"R$",1000
"1.2","Série retropolada","Tauá",,,,"108267","130911","138335","158922","181505","191049","233452","237004",,,,,,,"R$",1000
"1.2","Série retropolada","Tejuçuoca",,,,"18224","20007","21141","27406","31254","34357","41076","44545",,,,,,,"R$",1000
"1.2","Série retropolada","Tianguá",,,,"165437","196400","214040","242809","280331","286807","358032","362690",,,,,,,"R$",1000
"1.2","Série retropolada","Trairi",,,,"108908","126907","161362","177958","210910","213388","255689","219442",,,,,,,"R$",1000
"1.2","Série retropolada","Tururu",,,,"15631","18205","21272","24710","27427","28736","37293","39791",,,,,,,"R$",1000
"1.2","Série retropolada","Ubajara",,,,"70631","84184","98534","110140","124395","142290","170653","177874",,,,,,,"R$",1000
"1.2","Série retropolada","Umari",,,,"10875","12548","12972","14272","18952","18629","22964","24110",,,,,,,"R$",1000
"1.2","Série retropolada","Umirim",,,,"24109","27645","30821","33672","37992","42991","51982","55680",,,,,,,"R$",1000
"1.2","Série retropolada","Uruburetama",,,,"60528","60859","107867","106364","112011","108840","138305","140919",,,,,,,"R$",1000
"1.2","Série retropolada","Uruoca",,,,"14718","18129","19739","23361","24745","29731","36186","40155",,,,,,,"R$",1000
"1.2","Série retropolada","Varjota",,,,"33205","44897","46444","47935","60202","60949","74122","78585",,,,,,,"R$",1000
"1.2","Série retropolada","Várzea Alegre",,,,"56459","73459","68252","76721","95373","98960","128984","134473",,,,,,,"R$",1000
"1.2","Série retropolada","Viçosa do Ceará",,,,"69049","86705","99491","105981","136367","152980","182613","191670",,,,,,,"R$",1000
"1.3","Série encerrada","Abaiara","10025","11327","11551","12418","15396","16213","16519","20125","22976","29331","33585","35616","40098","39314",,,,"R$",1000
"1.3","Série encerrada","Acarape","26418","29110","29895","30580","31731","33141","32591","37783","41803","50533","57295","57412","81090","80588",,,,"R$",1000
"1.3","Série encerrada","Acaraú","70664","68209","83643","100703","116638","134321","141564","157648","176061","218401","232006","327218","376651","394094",,,,"R$",1000
"1.3","Série encerrada","Acopiara","62878","71419","64515","78579","87137","101079","105507","115572","126516","156563","169175","202778","236257","236047",,,,"R$",1000
"1.3","Série encerrada","Aiuaba","16737","16242","15550","18725","24235","24448","29668","37445","38788","48338","48680","53768","66998","61575",,,,"R$",1000
"1.3","Série encerrada","Alcântaras","8529","9651","12185","14181","16608","18345","20789","24398","25162","29028","32676","37343","43225","43301",,,,"R$",1000
"1.3","Série encerrada","Altaneira","6378","6488","6974","8720","9741","10966","12126","14468","15450","19654","21715","24274","28370","30144",,,,"R$",1000
"1.3","Série encerrada","Alto Santo","33936","32223","32415","38977","38786","41424","37997","45155","52060","65152","72397","76165","83598","78836",,,,"R$",1000
"1.3","Série encerrada","Amontada","51391","61176","67526","82241","99587","111076","126086","144494","132206","174615","153840","244848","298132","326337",,,,"R$",1000
"1.3","Série encerrada","Antonina do Norte","6612","8063","7289","10347","12310","13817","16052","17828","18547","24090","24479","28062","31415","32585",,,,"R$",1000
"1.3","Série encerrada","Apuiarés","13701","14740","15686","18405","21322","23860","28252","31702","33643","42157","44143","51750","58591","58006",,,,"R$",1000
"1.3","Série encerrada","Aquiraz","174824","197470","213232","250231","248667","298221","347545","368052","392870","497878","601089","680582","795551","935351",,,,"R$",1000
"1.3","Série encerrada","Aracati","155056","161168","196786","230527","262029","330939","341617","381465","369276","443745","488662","592624","817691","932020",,,,"R$",1000
"1.3","Série encerrada","Aracoiaba","31551","34628","40203","48526","53939","56029","59313","70239","69704","87487","95631","105363","129880","124081",,,,"R$",1000
"1.3","Série encerrada","Ararendá","14934","15496","16323","16459","19261","20637","22638","27134","27422","34630","35482","38321","44644","43087",,,,"R$",1000
"1.3","Série encerrada","Araripe","23783","23921","29095","31838","51435","44970","48589","59308","67718","82420","84258","88408","97540","89125",,,,"R$",1000
"1.3","Série encerrada","Aratuba","17889","20983","21910","23737","30192","34423","36583","43776","48318","54756","50271","60079","65713","58733",,,,"R$",1000
"1.3","Série encerrada","Arneiroz","10930","11151","11340","14380","16805","17489","19632","22549","22889","30262","29506","33747","38708","36942",,,,"R$",1000
"1.3","Série encerrada","Assaré","24543","25922","25640","29663","38082","39323","42144","50470","52318","68968","76404","86385","102286","98806",,,,"R$",1000
"1.3","Série encerrada","Aurora","31043","32943","31592","39841","50775","45746","52019","63894","65588","81911","89421","96273","116748","108670",,,,"R$",1000
"1.3","Série encerrada","Baixio","8753","8386","8037","9598","11947","12992","14313","16324","16415","21216","22148","24698","28424","27448",,,,"R$",1000
"1.3","Série encerrada","Banabuiú","23386","26302","25236","29242","39711","46391","50790","54975","59746","83380","76058","82250","94871","89606",,,,"R$",1000
"1.3","Série encerrada","Barbalha","103641","111605","130095","140808","143104","166838","183664","211920","237809","292083","353661","444660","498092","504630",,,,"R$",1000
"1.3","Série encerrada","Barreira","29811","30923","33267","37703","43859","48024","49278","57274","59695","70526","75485","86891","98495","97965",,,,"R$",1000
"1.3","Série encerrada","Barro","26116","27597","27335","37262","40479","39698","42986","51470","54595","73636","77054","87637","92185","95707",,,,"R$",1000
"1.3","Série encerrada","Barroquinha","15285","16347","18398","21922","27348","32266","36989","42074","43234","52457","53549","62911","69802","68736",,,,"R$",1000
"1.3","Série encerrada","Baturité","43935","45666","58041","54660","65070","74520","82404","96166","100234","119789","133153","165360","188299","182863",,,,"R$",1000
"1.3","Série encerrada","Beberibe","56842","68579","77125","87922","104262","121195","137914","159859","158852","195010","212948","302614","313386","353712",,,,"R$",1000
"1.3","Série encerrada","Bela Cruz","37911","37093","39878","50146","59320","62950","65621","78813","77203","98379","101703","119375","128141","140949",,,,"R$",1000
"1.3","Série encerrada","Boa Viagem","64187","67681","78999","94805","112269","113948","123122","144283","153207","198611","194712","228952","263947","246908",,,,"R$",1000
"1.3","Série encerrada","Brejo Santo","72434","66365","77123","81648","105382","106540","117740","127489","138404","163669","184788","239635","270750","263574",,,,"R$",1000
"1.3","Série encerrada","Camocim","83978","86931","96711","123258","146151","177540","184258","198489","213420","239877","267008","411864","405222","546072",,,,"R$",1000
"1.3","Série encerrada","Campos Sales","34177","34474","40656","46240","50156","57099","60869","69504","72011","88908","98470","115336","128871","127470",,,,"R$",1000
"1.3","Série encerrada","Canindé","135602","153479","180026","206727","209544","199087","196138","214174","237048","315323","307250","360537","410025","395114",,,,"R$",1000
"1.3","Série encerrada","Capistrano","18611","20756","20299","22578","29044","30640","34957","41584","41496","50859","52955","62808","74695","69449",,,,"R$",1000
